列名	归一化列值	同义词
产品名称	奔驰B180时尚型	B180|B180时尚|180时尚
产品名称	奔驰C260	C260
产品名称	奔驰E300	E300
产品名称	奔驰E53	E53
产品名称	奔驰S63	S63
产品名称	奔驰GLA180	GLA180|GLA
产品名称	奔驰GLC260动感型	GLC260|GLC260动感|260动感
产品名称	奔驰GLC300	GLC300
产品名称	奔驰GLE53	GLE53|GLE
产品名称	奔驰GLS600礼尚版	GLS600礼尚版|600礼尚版|GLS600|GLS
全景天窗	True	有|配|带|安装了|安了|按|安|配有|装配|装配了
全景天窗	False	没有|不配|不带|没安装|没安|没|没有
倒车影像	True	有|配|带|安装了|安了|按|安|配有|装配|装配了
倒车影像	False	没有|不配|不带|没安装|没安|没|没有
智能泊车	True	有|配|带|安装了|安了|按|安|配有|装配|装配了
智能泊车	False	没有|不配|不带|没安装|没安|没|没有
许可证状态	持有证	资格证
许可证状态	资格证待续期	持有证待续期